country,iso3,region,income_level,gdp_per_capita_usd,log10_gdp_per_capita,life_expectancy_years,population,population_millions,urban_pop_pct,fertility_rate,health_exp_per_capita_usd,co2_per_capita_t
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,357.261152798144,2.5529857952603163,65.617,40578842,40.579,25.3939250580909,4.932,80.6516037,0.278420956418618
Albania,ALB,Europe & Central Asia,Upper middle income,7756.96188744253,3.8896916576148617,78.769,2451636,2.452,57.8643477747383,1.355,506.86920166,1.84525761573088
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,4960.30334332888,3.695508236229217,76.129,45477389,45.477,74.1795862354514,2.817,180.33454895,4.16005852930563
American Samoa,ASM,East Asia & Pacific,High income,18017.4589383973,4.255693540979972,72.752,48342,0.048,81.794797704649,2.305,,0.00206859459683091
Andorra,AND,Europe & Central Asia,High income,42414.0590111349,4.62750983628393,84.016,79705,0.08,88.7548766267286,1.071,3190.11328125,
Angola,AGO,Sub-Saharan Africa,Lower middle income,3598.53669077341,3.556125935123885,64.246,35635029,35.635,69.0506188977513,5.209,103.94506073,0.748810952279567
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,20003.3909394099,4.301103622736243,77.483,92840,0.093,24.5114484000414,1.58,891.00323486,3.69452822059457
Argentina,ARG,Latin America & Caribbean,Upper middle income,13962.1894087223,4.144953525276516,75.806,45407904,45.408,92.112838186126,1.482,1415.79577637,4.2953116708492
Armenia,ARM,Europe & Central Asia,Upper middle income,6571.97445545099,3.817695866710949,74.7658536585366,2969200,2.969,65.5624462874485,1.7,674.78619385,2.61828101845615
Aruba,ABW,Latin America & Caribbean,High income,31000.5713798732,4.491369698506503,76.226,107310,0.107,61.8811657924257,1.615,,4.99021526418787
Australia,AUS,East Asia & Pacific,High income,65169.5191118657,4.8140445163334284,83.2,26018721,26.019,87.3343268253813,1.63,6723.98242188,14.530502863688
Austria,AUT,Europe & Central Asia,High income,52336.7725223758,4.718806937277101,81.2951219512195,9041851,9.042,68.998085127906,1.41,5897.97607422,6.92858132698714
